25.015495 98.558125 75.292838 
80.000000 25.066155 96.865028 76.483452 
80.000000 25.259350 99.070072 77.151985 
1.000000 25.182835 100.608008 75.555646 
80.000000 25.160850 98.148792 73.676183 
80.000000 25.099767 96.558760 74.530187 
80.000000 25.218369 99.812516 73.721894 
80.000000 25.624534 105.787019 62.978830 
80.000000 25.410384 99.383586 87.512245 
96.000000 25.361148 112.899383 67.463698 
80.000000 25.700098 105.788465 83.410704 
96.000000 25.557604 105.612886 71.465925 
80.000000 25.281670 93.905675 75.951027 
80.000000 25.737534 95.216496 79.069604 
80.000000 25.499396 102.380099 75.608643 
80.000000 25.975551 106.325651 73.516127 
1.000000 25.495150 94.506317 72.529571 
80.000000 25.705164 110.526644 61.502503 
80.000000 25.309675 95.663704 73.097459 
80.000000 25.801217 106.381191 61.104951 
1.000000 25.297330 96.999159 72.879821 
80.000000 25.581431 98.262125 89.454995 
96.000000 25.790540 99.033016 83.886992 
96.000000 25.330658 101.820481 87.131915 
96.000000 25.433910 102.691108 85.168947 
96.000000 25.598482 105.386188 64.700186 
80.000000 25.641429 107.069643 61.949076 
80.000000 25.352706 109.407701 67.397041 
80.000000 25.671579 115.644636 66.665228 
80.000000 25.621125 104.076649 72.932870 
80.000000 25.541610 105.127428 69.180148 
80.000000 25.629123 107.511143 89.475814 
96.000000 25.582744 114.245548 68.209198 
80.000000 25.495009 103.009824 90.188259 
96.000000 25.397665 107.278053 70.254968 
80.000000 25.336334 108.079345 68.548362 
80.000000 25.420611 111.289476 68.052452 
80.000000 25.496379 113.360634 64.171167 
80.000000 25.291790 94.860183 77.377440 
80.000000 25.596524 105.034773 90.207408 
96.000000 25.495845 109.403446 69.866858 
80.000000 25.366757 108.810719 86.130972 
96.000000 25.633822 110.771063 83.094511 
1.000000 25.743411 101.692105 91.371327 
1.000000 25.754287 107.588950 72.245019 
1.000000 25.563202 112.776370 69.003150 
80.000000 25.481614 97.039457 78.388990 
80.000000 25.357983 110.579572 66.103402 
80.000000 25.582844 92.527776 77.182690 
80.000000 25.578168 96.042627 71.504365 
80.000000 25.648496 98.088979 85.817922 
96.000000 25.596359 98.513934 71.661514 
80.000000 25.432514 101.040963 89.370555 
96.000000 25.398919 105.837213 88.444575 
96.000000 25.541976 110.583713 86.270076 
1.000000 25.363927 112.062721 65.630461 
80.000000 25.323100 94.408009 74.254467 
80.000000 25.389674 106.608340 68.332832 
80.000000 25.906318 107.358275 82.411646 
96.000000 25.725644 108.635718 61.159065 
80.000000 25.823613 112.244277 82.703717 
1.000000 25.729651 112.649163 62.193672 
80.000000 26.107304 91.918480 79.631209 
1.000000 25.370025 101.971501 73.785695 
80.000000 25.364783 103.716647 88.419625 
96.000000 25.338047 105.446732 86.767557 
96.000000 25.814985 92.556801 72.848597 
80.000000 25.710661 93.671465 78.706660 
80.000000 25.422663 104.798735 85.030893 
96.000000 25.478094 109.257288 63.036729 
80.000000 26.172142 109.520641 72.105445 
80.000000 25.119216 95.264319 75.754260 
80.000000 25.459575 100.399173 85.500147 
96.000000 25.607071 100.639446 71.920096 
80.000000 25.600768 105.044610 66.879547 
80.000000 25.394555 107.363627 66.464245 
80.000000 25.549109 108.448749 71.279385 
80.000000 25.376869 109.167840 65.207964 
80.000000 26.025016 111.589688 70.574644 
1.000000 25.717062 96.981050 87.545046 
1.000000 25.764242 103.940065 83.339246 
96.000000 25.565967 114.933345 64.939310 
80.000000 25.442200 107.277285 84.785382 
96.000000 25.477267 111.419347 63.393210 
80.000000 25.636109 102.258371 71.753696 
80.000000 25.328176 103.702021 86.547227 
96.000000 25.449553 107.375541 64.046875 
80.000000 25.523081 109.281809 87.891220 
96.000000 25.684838 109.158100 82.818866 
1.000000 25.369771 107.357303 87.246960 
96.000000 25.407811 113.936100 66.186903 
80.000000 25.787687 101.492628 83.221181 
96.000000 25.657035 103.583475 74.761024 
80.000000 25.458452 109.697006 84.551062 
1.000000 25.387050 110.548852 64.553080 
80.000000 25.746323 94.214860 71.238606 
80.000000 25.522577 92.813410 75.113035 
80.000000 25.713915 101.486131 77.204570 
80.000000 25.686015 111.809832 84.473094 
1.000000 25.732999 99.524186 91.367663 
1.000000 26.242690 103.893059 76.491980 
80.000000 25.962599 97.221147 69.937867 
80.000000 25.942136 102.977901 67.632121 
80.000000 25.807109 103.452969 91.422668 
96.000000 25.946055 95.854878 89.331602 
96.000000 26.160892 96.930053 84.274592 
96.000000 25.934994 103.929952 62.887222 
80.000000 26.142329 105.220619 74.895579 
80.000000 26.071515 102.783448 64.875162 
80.000000 26.283500 103.309086 81.632274 
96.000000 25.813257 114.694589 63.126827 
80.000000 26.008767 109.824973 89.843987 
96.000000 26.223473 96.638453 80.639172 
80.000000 25.918095 97.135957 91.488036 
1.000000 26.079318 113.935999 70.095131 
80.000000 25.994028 99.836355 79.524228 
80.000000 26.057379 89.951864 78.174152 
80.000000 25.743035 103.320108 70.236817 
80.000000 26.053958 96.219684 85.896081 
96.000000 26.113014 117.601617 66.494537 
80.000000 26.623868 91.021372 81.566836 
80.000000 25.900090 112.513957 86.303244 
96.000000 25.908746 116.385511 64.537056 
80.000000 25.985853 99.676432 81.868475 
96.000000 25.981476 111.097267 81.373683 
1.000000 26.205562 89.946581 80.358412 
80.000000 26.244365 116.161472 69.178862 
80.000000 26.223944 99.073860 69.092219 
80.000000 26.423030 94.072433 80.342819 
80.000000 25.979712 90.899744 75.297377 
80.000000 26.005180 111.518998 88.318254 
96.000000 26.366891 105.644656 81.437628 
96.000000 26.047124 95.332912 69.657378 
80.000000 25.960706 105.251960 61.193101 
80.000000 26.061915 113.870935 83.723118 
96.000000 26.055081 106.947020 60.095801 
80.000000 26.077998 111.855166 60.306539 
80.000000 26.119630 113.713221 81.394490 
1.000000 26.654809 106.875685 75.060745 
80.000000 26.359309 94.646887 86.947208 
96.000000 25.984642 101.171110 69.951593 
80.000000 26.219396 92.891332 69.995577 
80.000000 25.899812 99.874768 70.631580 
80.000000 26.266751 101.755569 66.155986 
80.000000 27.015603 111.275904 72.396872 
80.000000 26.612757 102.559776 93.197293 
1.000000 26.216849 114.955171 70.174598 
80.000000 26.242032 104.830503 92.050193 
96.000000 26.093427 98.480980 81.106994 
1.000000 26.076181 100.587975 92.773429 
1.000000 26.670738 89.015498 74.259779 
80.000000 26.521087 95.020522 94.947429 
96.000000 26.429986 101.869880 62.547538 
80.000000 26.236863 101.514888 81.009141 
1.000000 26.190347 109.592643 59.413206 
80.000000 26.645964 111.695000 58.349464 
80.000000 26.719685 116.497741 84.760607 
96.000000 26.680672 117.392114 80.647488 
96.000000 26.880105 106.410241 106.144608 
1.000000 26.520129 96.957263 68.043890 
80.000000 26.225290 108.904129 81.055215 
96.000000 26.427573 90.758491 71.307084 
80.000000 26.704802 94.523035 67.660066 
80.000000 26.934782 103.435604 105.065441 
1.000000 26.360229 115.320253 84.259793 
96.000000 26.435646 113.411944 87.709808 
96.000000 26.571678 116.003792 79.270971 
96.000000 26.297614 95.911400 93.586633 
96.000000 26.631648 96.303364 96.185996 
1.000000 26.167454 97.760715 82.432571 
96.000000 25.955160 113.188747 85.065793 
96.000000 26.703633 92.290686 68.180183 
80.000000 26.617994 111.493552 90.195575 
1.000000 26.474991 101.824005 79.784808 
1.000000 26.454125 113.118105 59.570600 
80.000000 26.649270 93.344700 93.677118 
96.000000 26.615594 100.643518 94.304573 
1.000000 26.607610 119.623199 66.119695 
80.000000 26.249615 105.426387 59.848812 
80.000000 26.359481 115.602995 80.651317 
96.000000 26.753884 118.006224 82.585931 
96.000000 26.429837 88.954611 76.281629 
80.000000 26.668188 92.553990 90.671936 
96.000000 26.758332 94.211422 96.199209 
96.000000 27.134721 110.718630 77.898376 
