24.965734 98.576403 75.223681 
80.000000 25.059116 96.868003 76.221291 
1.000000 25.258079 98.938154 77.253274 
80.000000 25.595830 96.903138 78.484670 
80.000000 25.290440 100.760454 75.801122 
1.000000 24.988853 96.884809 74.478875 
80.000000 25.078129 97.926338 73.621342 
80.000000 25.196390 99.613577 73.717803 
80.000000 25.389672 99.647270 88.028239 
96.000000 25.560348 105.853553 63.136587 
80.000000 25.724362 114.034213 68.710682 
1.000000 25.696543 105.882262 83.396132 
96.000000 25.478855 105.601152 70.878422 
1.000000 25.334262 93.498218 76.334533 
80.000000 25.451277 106.385964 88.806043 
96.000000 25.520584 108.239222 70.615839 
80.000000 25.587172 104.671722 72.811460 
80.000000 25.559932 98.320688 89.570727 
1.000000 25.400168 101.513737 86.891649 
96.000000 25.346942 109.636871 67.460488 
80.000000 25.321945 111.387391 66.300129 
80.000000 25.792193 90.983315 78.858337 
80.000000 25.694085 107.176633 61.802798 
1.000000 25.672175 111.201216 85.930986 
96.000000 25.483752 99.296988 86.427117 
96.000000 25.839552 107.140743 72.433716 
80.000000 25.360664 107.982190 68.796224 
80.000000 25.776682 109.402362 61.176018 
1.000000 25.575174 111.227786 62.623735 
80.000000 25.455580 111.801942 68.258026 
80.000000 25.509574 112.976390 63.882437 
80.000000 25.520030 94.102615 72.800588 
80.000000 25.392826 94.878886 77.277469 
80.000000 25.594700 103.049068 90.465381 
96.000000 25.605346 104.880297 90.192655 
96.000000 25.894588 112.448621 82.438878 
1.000000 25.366794 112.806215 65.383558 
80.000000 25.479277 103.039525 72.812047 
80.000000 25.644482 110.011161 69.857382 
80.000000 25.674559 110.986344 83.462820 
1.000000 25.630764 92.695015 78.049635 
80.000000 25.804633 97.684292 91.614753 
96.000000 25.630259 103.147603 74.954470 
80.000000 25.445690 105.776226 68.397128 
80.000000 25.408267 106.921035 70.223871 
80.000000 25.379515 108.286974 86.857899 
96.000000 25.487901 98.204028 87.734005 
1.000000 25.797698 100.316283 83.453787 
96.000000 25.470648 101.007478 89.539314 
1.000000 25.421807 113.505813 66.834445 
80.000000 25.243535 94.709948 74.742243 
80.000000 25.643606 102.494722 84.221813 
96.000000 25.876747 107.332043 82.436017 
96.000000 25.754024 112.940046 62.321811 
80.000000 25.373417 95.948291 72.627578 
80.000000 25.854071 102.360421 76.973985 
80.000000 25.370355 103.787220 88.451394 
96.000000 25.429900 107.360170 64.123304 
80.000000 25.790516 92.427923 73.320498 
80.000000 25.650061 100.231794 71.691954 
80.000000 25.448845 104.886709 84.847192 
96.000000 25.310703 105.697125 86.705963 
96.000000 25.471915 109.238412 63.203014 
80.000000 25.357006 107.526341 66.473426 
80.000000 25.343145 109.349462 65.286797 
80.000000 25.995185 109.204108 71.702228 
1.000000 25.952360 112.340485 70.141624 
80.000000 25.522227 92.245747 76.418194 
80.000000 25.482734 98.149420 72.005470 
80.000000 25.580896 100.449003 85.068048 
96.000000 25.807421 104.446505 83.249330 
96.000000 25.557298 105.339858 65.197350 
80.000000 26.098575 91.832252 80.043804 
1.000000 25.689145 97.631466 86.496171 
1.000000 25.379735 101.536712 73.576424 
80.000000 25.430408 107.168507 84.572092 
96.000000 25.592655 102.010165 71.783889 
80.000000 25.362749 103.702044 86.311855 
96.000000 25.553723 109.953320 87.992029 
96.000000 25.566141 114.553738 65.094940 
80.000000 25.663675 109.076519 82.888354 
1.000000 25.446062 109.290506 84.683231 
1.000000 25.381011 111.183140 64.454658 
80.000000 25.467446 92.823104 75.186383 
80.000000 25.778059 90.958363 77.240047 
80.000000 25.817606 96.487775 88.248110 
1.000000 25.676708 99.363479 91.253862 
